Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
AFG,203,125,78,0,125,78,0,0.6157635467980296,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
AGO,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
AIA,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
ARE,337,300,37,0,300,37,0,0.8902077151335311,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARG,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARM,183,181,2,7,174,2,0,0.9890710382513661,0.7777777777777778,1.0,0.875,0.9959415584415584,0.8954648526077098
AZE,148,128,20,9,119,20,0,0.8648648648648649,0.3103448275862069,1.0,0.47368421052631576,0.9248601119104716,0.4791242037618849
BFA,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
BGD,6422,5393,1029,3390,2003,168,861,0.839769542198692,0.9527824620573356,0.7974594213126324,0.8682289665770265,0.9409564780108097,0.9429097912983373
BGR,272,253,19,18,235,19,0,0.9301470588235294,0.4864864864864865,1.0,0.6545454545454545,0.9995625546806649,0.9941520467836258
BHR,432,432,0,1,431,0,0,1.0,1.0,1.0,1.0,1.0,1.0
BHS,78,63,15,1,62,15,0,0.8076923076923077,0.0625,1.0,0.11764705882352941,1.0,1.0
BLR,1762,1722,40,271,1451,39,1,0.9772985244040863,0.8741935483870967,0.9963235294117647,0.9312714776632303,0.9991043229372286,0.9920448877970578
BLZ,265,142,123,44,98,42,81,0.5358490566037736,0.5116279069767442,0.352,0.41706161137440756,0.7,0.6081559850756482
BOL,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BRA,3,2,1,2,0,0,1,0.6666666666666666,1.0,0.6666666666666666,0.8,Not defined (single class),Not defined (single class)
BRB,88,88,0,1,87,0,0,1.0,1.0,1.0,1.0,1.0,1.0
BTN,15,15,0,0,15,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CAN,18935,8114,10821,2179,5935,2198,8623,0.428518616318986,0.49782956362805575,0.20172190335123125,0.28710718756176296,0.7501222842799102,0.7867410422456974
CHN,8148,6902,1246,1046,5856,967,279,0.8470790378006873,0.5196224540486836,0.789433962264151,0.6267225883762733,0.93516933568203,0.7716112230184832
CIV,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
COD,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
COL,1823,1786,37,628,1158,36,1,0.9797037849698299,0.9457831325301205,0.9984101748807631,0.97138437741686,0.999327586528296,0.9986960122319467
CRI,224,219,5,2,217,5,0,0.9776785714285714,0.2857142857142857,1.0,0.4444444444444444,1.0,1.0
