Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
AFG,43,43,0,0,43,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
AGO,127,127,0,38,89,0,0,1.0,1.0,1.0,1.0,1.0,1.0
AIA,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
ALB,8,6,2,0,6,1,1,0.75,0.0,0.0,0.0,0.8571428571428572,0.5
AND,2,2,0,0,2,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARE,54,54,0,0,54,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARG,392,383,9,187,196,4,5,0.9770408163265306,0.9790575916230366,0.9739583333333334,0.9765013054830287,0.9978125,0.9977382483404222
ARM,9,9,0,1,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0
AUS,3337,3334,3,2857,477,2,1,0.9991009889121966,0.9993004547044421,0.9996501049685095,0.9994752492566031,0.999974433557198,0.9999956969080106
AUT,1177,1171,6,362,809,2,4,0.9949022939677146,0.9945054945054945,0.9890710382513661,0.9917808219178083,0.9998854547782201,0.9997427910054527
AZE,29,27,2,3,24,0,2,0.9310344827586207,1.0,0.6,0.75,1.0,1.0
BDI,12,12,0,0,12,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BEL,975,970,5,493,477,2,3,0.9948717948717949,0.9959595959595959,0.9939516129032258,0.9949545913218971,0.9996590679507038,0.9996596712049142
BEN,7,7,0,0,7,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BFA,65,65,0,0,65,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BGD,1715,1714,1,1360,354,1,0,0.9994169096209913,0.9992652461425422,1.0,0.9996324880558618,0.9999979287489644,0.9999994597398105
BGR,130,130,0,42,88,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
BHS,10,9,1,0,9,1,0,0.9,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BIH,103,101,2,4,97,2,0,0.9805825242718447,0.6666666666666666,1.0,0.8,0.9898989898989898,0.8333333333333333
BLR,397,390,7,80,310,2,5,0.982367758186398,0.975609756097561,0.9411764705882353,0.9580838323353293,0.9921568627450982,0.9880296599596641
BLZ,72,72,0,43,29,0,0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
BOL,38,38,0,1,37,0,0,1.0,1.0,1.0,1.0,1.0,1.0
BRA,3055,3036,19,2143,893,12,7,0.9937806873977086,0.9944315545243619,0.9967441860465116,0.9955865272938443,0.9997014004882435,0.9998715722510261
BRB,28,28,0,0,28,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BRN,2,2,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
BWA,102,102,0,3,99,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
CAF,27,27,0,0,27,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CAN,5319,5302,17,3516,1786,7,10,0.9968039105094942,0.9980130570536475,0.9971639251276234,0.9975883103986382,0.999752140026491,0.9998726820658345
CHE,541,535,6,199,336,4,2,0.988909426987061,0.9802955665024631,0.9900497512437811,0.9851485148514851,0.9997073456248171,0.9995215414603622
CHL,4940,4935,5,4854,81,5,0,0.9989878542510121,0.998970981683474,1.0,0.9994852259857923,0.9993148781632986,0.999987758112634
CHN,1570,1564,6,428,1136,4,2,0.9961783439490446,0.9907407407407407,0.9953488372093023,0.9930394431554525,0.9999755201958385,0.9999354848849626
CIV,115,115,0,46,69,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
CMR,620,620,0,11,609,0,0,1.0,1.0,1.0,1.0,1.0,1.0
COD,417,415,2,35,380,0,2,0.9952038369304557,1.0,0.9459459459459459,0.9722222222222222,1.0,1.0
COG,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
COL,334,332,2,256,76,1,1,0.9940119760479041,0.9961089494163424,0.9961089494163424,0.9961089494163424,0.9999494668755368,0.9999849184085904
COM,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CPV,7,7,0,0,7,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CRI,21,19,2,1,18,2,0,0.9047619047619048,0.3333333333333333,1.0,0.5,1.0,1.0
CUB,32,31,1,1,30,1,0,0.96875,0.5,1.0,0.6666666666666666,1.0,1.0
CYM,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CYP,94,94,0,88,6,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
CZE,13402,13400,2,12959,441,1,1,0.9998507685420086,0.9999228395061729,0.9999228395061729,0.9999228395061729,0.9999987780012289,0.9999999583463053
DEU,5740,5701,39,1607,4094,12,27,0.993205574912892,0.9925880172946263,0.9834761321909424,0.9880110667076545,0.9994835452909168,0.9989229566192586
DNK,316,314,2,41,273,1,1,0.9936708860759493,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9999131039277025,0.9994462901439646
DOM,28,27,1,1,26,1,0,0.9642857142857143,0.5,1.0,0.6666666666666666,0.962962962962963,0.5
DZA,158,154,4,0,154,4,0,0.9746835443037974,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ECU,227,224,3,81,143,1,2,0.986784140969163,0.9878048780487805,0.9759036144578314,0.9818181818181818,0.9994979919678715,0.9991126267049697
EGY,92,92,0,5,87,0,0,1.0,1.0,1.0,1.0,1.0,1.0
ERI,16,16,0,0,16,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ESP,3793,3771,22,2951,820,14,8,0.9941998418138677,0.9952782462057336,0.9972963839134843,0.9962862930452397,0.9993455725450056,0.9998154122586396
EST,9,8,1,5,3,0,1,0.8888888888888888,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0
ETH,75,75,0,0,75,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
FIN,259,257,2,36,221,0,2,0.9922779922779923,1.0,0.9473684210526315,0.972972972972973,0.9997618480590617,0.9986842105263158
FJI,24,24,0,22,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
FLK,3,3,0,0,3,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
FRA,4413,4401,12,2050,2351,5,7,0.9972807613868117,0.9975669099756691,0.9965969859017987,0.9970817120622568,0.9999224149102035,0.9999120276891205
FRO,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GAB,13,13,0,0,13,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GBR,2212,2179,33,1096,1083,19,14,0.9850813743218807,0.9829596412556054,0.9873873873873874,0.9851685393258427,0.9980927388368405,0.9981409251284143
GEO,72,71,1,4,67,0,1,0.9861111111111112,1.0,0.8,0.8888888888888888,1.0,1.0
GHA,92,92,0,0,92,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GIN,137,137,0,0,137,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GRC,635,634,1,506,128,1,0,0.9984251968503937,0.9980276134122288,1.0,0.9990128331688055,1.0,1.0
GRL,9,8,1,7,1,0,1,0.8888888888888888,1.0,0.875,0.9333333333333333,1.0,1.0
GTM,154,152,2,101,51,2,0,0.987012987012987,0.9805825242718447,1.0,0.9901960784313726,0.9986923220623949,0.9993025465202304
GUY,12,12,0,0,12,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
HND,30,29,1,0,29,1,0,0.9666666666666667,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
HRV,728,723,5,628,95,2,3,0.9931318681318682,0.9968253968253968,0.9952456418383518,0.9960348929421095,0.999738591991112,0.9999598576163162
HTI,97,97,0,7,90,0,0,1.0,1.0,1.0,1.0,1.0,1.0
HUN,439,437,2,230,207,2,0,0.9954441913439636,0.9913793103448276,1.0,0.9956709956709957,0.9997919700436864,0.9998111206032612
IDN,11406,11405,1,8974,2431,1,0,0.9999123268455199,0.9998885793871867,1.0,0.9999442865897822,0.9999992668879687,0.9999998011871374
IND,1556,1544,12,580,964,10,2,0.9922879177377892,0.9830508474576272,0.9965635738831615,0.9897610921501706,0.9996824657592243,0.9994684411492355
IRL,279,269,10,166,103,1,9,0.96415770609319,0.9940119760479041,0.9485714285714286,0.9707602339181286,0.9976923076923078,0.998696645246469
