Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
AGO,110,0,110,0,0,110,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ALB,2,2,0,0,2,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARE,96,96,0,0,96,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARG,164,52,112,0,52,112,0,0.3170731707317073,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ARM,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
AUS,211,207,4,171,36,2,2,0.981042654028436,0.9884393063583815,0.9884393063583815,0.9884393063583815,0.9747490112564648,0.9937364466626696
AUT,990,945,45,757,188,45,0,0.9545454545454546,0.9438902743142145,1.0,0.9711353431686979,0.9496147544236624,0.9731828809096759
AZE,11,0,11,0,0,11,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BEL,926,554,372,479,75,263,109,0.5982721382289417,0.6455525606469003,0.814625850340136,0.7203007518796992,0.5025862415972306,0.7050175181036962
BEN,11,11,0,0,11,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BGD,462,258,204,103,155,47,157,0.5584415584415584,0.6866666666666666,0.39615384615384613,0.5024390243902439,0.6637281035795888,0.7935248758915634
BGR,74,74,0,40,34,0,0,1.0,1.0,1.0,1.0,1.0,1.0
BHR,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
BHS,12,0,12,0,0,12,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BIH,192,4,188,0,4,188,0,0.020833333333333332,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BLR,272,19,253,1,18,234,19,0.06985294117647059,0.00425531914893617,0.05,0.00784313725490196,0.03273809523809526,0.04218943338409026
BOL,18,12,6,0,12,6,0,0.6666666666666666,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BRA,780,714,66,134,580,28,38,0.9153846153846154,0.8271604938271605,0.7790697674418605,0.8023952095808383,0.8513234394124847,0.8220655412031802
BRN,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
BWA,138,116,22,0,116,22,0,0.8405797101449275,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CAN,2021,1513,508,1355,158,33,475,0.7486392874814448,0.9762247838616714,0.7404371584699454,0.8421379738968303,0.8935198695390953,0.9834639711998985
CHE,143,121,22,78,43,22,0,0.8461538461538461,0.78,1.0,0.8764044943820225,1.0,1.0
CHL,646,617,29,616,1,29,0,0.955108359133127,0.9550387596899225,1.0,0.9770023790642347,0.6346861471861471,0.9764927104080784
CHN,401,273,128,126,147,128,0,0.6807980049875312,0.49606299212598426,1.0,0.6631578947368421,1.0,0.9999999999999999
CIV,82,81,1,81,0,1,0,0.9878048780487805,0.9878048780487805,1.0,0.9938650306748467,0.6049382716049383,0.9939802713143864
CMR,15,15,0,0,15,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
COD,197,189,8,0,189,8,0,0.9593908629441624,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
COL,246,92,154,86,6,86,68,0.37398373983739835,0.5,0.5584415584415584,0.5276073619631901,0.20348673066064368,0.5395019892050797
COM,3,3,0,0,3,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CRI,15,15,0,0,15,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CUB,20,0,20,0,0,20,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CYM,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
CYP,66,66,0,60,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0
CZE,222,164,58,50,114,58,0,0.7387387387387387,0.46296296296296297,1.0,0.6329113924050633,0.9758139534883721,0.9289222527806391
DEU,3834,3244,590,1256,1988,329,261,0.8461137193531559,0.7924290220820189,0.8279499011206328,0.8098001289490652,0.9154525221137851,0.9011022932787043
DMA,3,3,0,0,3,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
DNK,77,75,2,0,75,2,0,0.974025974025974,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
